_id,tipo_usuario,nm_usuario,ch_cnpj_usuario,nr_celular_usuario,sg_estado_usuario,nm_cidade_usuario,cd_foto_usuario,cd_senha_usuario,cd_email_usuario,fg_admin,qt_advertencias_usuario,fg_usuario_deletado,ch_cpf_usuario,dt_nascimento_usuario
6a23684ed048b6bf20815a27,pf,Lucas Almeida,,41996419177,GO,Goiânia,default.png,$2b$12$QGXXWSVW3dIv1VMtNCUWNeHd7ESaSFcUd6tK/E5MUrcQWSgeb/Azq,lucas.almeida5@gmail.com,0,0,0,71774692750,1972-07-10 00:00:00
6a23684ed048b6bf20815a28,pf,Juliana Lima,,92940021023,MG,Belo Horizonte,default.png,$2b$12$QGXXWSVW3dIv1VMtNCUWNeHd7ESaSFcUd6tK/E5MUrcQWSgeb/Azq,juliana.lima6@uol.com.br,0,0,0,76005883705,1995-10-13 00:00:00
6a23684ed048b6bf20815a29,pf,Rafael Souza,,71905980940,RJ,Rio de Janeiro,default.png,$2b$12$QGXXWSVW3dIv1VMtNCUWNeHd7ESaSFcUd6tK/E5MUrcQWSgeb/Azq,rafael.souza7@outlook.com,0,0,0,30712684235,1994-11-25 00:00:00
6a23684ed048b6bf20815a2a,pf,Fernanda Pereira,,71919831191,SC,Florianópolis,default.png,$2b$12$QGXXWSVW3dIv1VMtNCUWNeHd7ESaSFcUd6tK/E5MUrcQWSgeb/Azq,fernanda.pereira8@uol.com.br,0,0,0,14720430499,1967-08-06 00:00:00
6a23684ed048b6bf20815a2b,pf,Thiago Rodrigues,,92980938676,PE,Recife,default.png,$2b$12$QGXXWSVW3dIv1VMtNCUWNeHd7ESaSFcUd6tK/E5MUrcQWSgeb/Azq,thiago.rodrigues9@uol.com.br,0,0,0,27280205134,1967-01-20 00:00:00
6a23684ed048b6bf20815a2c,pf,Camila Martins,,71963929118,ES,Vitória,default.png,$2b$12$QGXXWSVW3dIv1VMtNCUWNeHd7ESaSFcUd6tK/E5MUrcQWSgeb/Azq,camila.martins10@uol.com.br,0,0,0,03509931012,2000-11-19 00:00:00
6a23684ed048b6bf20815a2d,pf,Gabriel Carvalho,,81955610630,PI,Teresina,default.png,$2b$12$QGXXWSVW3dIv1VMtNCUWNeHd7ESaSFcUd6tK/E5MUrcQWSgeb/Azq,gabriel.carvalho11@gmail.com,0,0,0,61644882685,1988-11-13 00:00:00
6a23684ed048b6bf20815a2e,pf,Beatriz Nascimento,,41977486746,RJ,Rio de Janeiro,default.png,$2b$12$QGXXWSVW3dIv1VMtNCUWNeHd7ESaSFcUd6tK/E5MUrcQWSgeb/Azq,beatriz.nascimento12@hotmail.com,0,0,0,29206019840,1962-02-12 00:00:00
6a23684ed048b6bf20815a2f,pf,Mateus Araújo,,11912729711,RJ,Rio de Janeiro,default.png,$2b$12$QGXXWSVW3dIv1VMtNCUWNeHd7ESaSFcUd6tK/E5MUrcQWSgeb/Azq,mateus.araujo13@gmail.com,0,0,0,57881097331,1969-04-11 00:00:00
6a23684ed048b6bf20815a30,pf,Larissa Moreira,,85972206353,MT,Cuiabá,default.png,$2b$12$QGXXWSVW3dIv1VMtNCUWNeHd7ESaSFcUd6tK/E5MUrcQWSgeb/Azq,larissa.moreira14@uol.com.br,0,0,0,74816202631,1989-08-15 00:00:00
6a23684ed048b6bf20815a31,pf,Gustavo Barbosa,,61920238028,SP,São Paulo,default.png,$2b$12$QGXXWSVW3dIv1VMtNCUWNeHd7ESaSFcUd6tK/E5MUrcQWSgeb/Azq,gustavo.barbosa15@outlook.com,0,0,0,90367157921,1962-07-10 00:00:00
6a23684ed048b6bf20815a32,pf,Patrícia Ribeiro,,11900017566,CE,Fortaleza,default.png,$2b$12$QGXXWSVW3dIv1VMtNCUWNeHd7ESaSFcUd6tK/E5MUrcQWSgeb/Azq,patricia.ribeiro16@gmail.com,0,0,0,96436265796,1977-10-11 00:00:00
6a23684ed048b6bf20815a33,pf,Diego Teixeira,,61917797475,PE,Recife,default.png,$2b$12$QGXXWSVW3dIv1VMtNCUWNeHd7ESaSFcUd6tK/E5MUrcQWSgeb/Azq,diego.teixeira17@uol.com.br,0,0,0,70925305899,1973-02-19 00:00:00
6a23684ed048b6bf20815a34,pf,Amanda Nunes,,21901719200,PE,Recife,default.png,$2b$12$QGXXWSVW3dIv1VMtNCUWNeHd7ESaSFcUd6tK/E5MUrcQWSgeb/Azq,amanda.nunes18@outlook.com,0,0,0,40266756677,1988-04-14 00:00:00
6a23684ed048b6bf20815a35,pf,Victor Gomes,,71974428911,SP,Ribeirão Preto,default.png,$2b$12$QGXXWSVW3dIv1VMtNCUWNeHd7ESaSFcUd6tK/E5MUrcQWSgeb/Azq,victor.gomes19@yahoo.com.br,0,0,0,92113213255,1960-11-22 00:00:00
6a23684ed048b6bf20815a36,pf,Isabela Dias,,71959688777,MG,Belo Horizonte,default.png,$2b$12$QGXXWSVW3dIv1VMtNCUWNeHd7ESaSFcUd6tK/E5MUrcQWSgeb/Azq,isabela.dias20@uol.com.br,0,0,0,31929950258,1965-02-13 00:00:00
6a23684ed048b6bf20815a37,pf,Bruno Castro,,51999019748,PR,Curitiba,default.png,$2b$12$QGXXWSVW3dIv1VMtNCUWNeHd7ESaSFcUd6tK/E5MUrcQWSgeb/Azq,bruno.castro21@uol.com.br,0,0,0,95993256969,1995-05-10 00:00:00
6a23684ed048b6bf20815a38,pf,Renata Campos,,71979770187,MA,São Luís,default.png,$2b$12$QGXXWSVW3dIv1VMtNCUWNeHd7ESaSFcUd6tK/E5MUrcQWSgeb/Azq,renata.campos22@gmail.com,0,0,0,76543166702,2002-12-05 00:00:00
6a23684ed048b6bf20815a39,pf,Felipe Cardoso,,51968469134,GO,Goiânia,default.png,$2b$12$QGXXWSVW3dIv1VMtNCUWNeHd7ESaSFcUd6tK/E5MUrcQWSgeb/Azq,felipe.cardoso23@uol.com.br,0,0,0,09921036872,1998-02-03 00:00:00
6a23684ed048b6bf20815a3a,pf,Natália Monteiro,,71999940826,AL,Maceió,default.png,$2b$12$QGXXWSVW3dIv1VMtNCUWNeHd7ESaSFcUd6tK/E5MUrcQWSgeb/Azq,natalia.monteiro24@uol.com.br,0,0,0,32944661101,1968-04-13 00:00:00
6a23684ed048b6bf20815a3b,pf,Eduardo Pinto,,61912505342,RS,Porto Alegre,default.png,$2b$12$QGXXWSVW3dIv1VMtNCUWNeHd7ESaSFcUd6tK/E5MUrcQWSgeb/Azq,eduardo.pinto25@hotmail.com,0,0,0,60650222331,1982-03-20 00:00:00
6a23684ed048b6bf20815a3c,pf,Vanessa Rocha,,92933010241,GO,Goiânia,default.png,$2b$12$QGXXWSVW3dIv1VMtNCUWNeHd7ESaSFcUd6tK/E5MUrcQWSgeb/Azq,vanessa.rocha26@hotmail.com,0,0,0,44406499462,1992-02-14 00:00:00
6a23684ed048b6bf20815a3d,pf,Henrique Correia,,81950324721,PR,Curitiba,default.png,$2b$12$QGXXWSVW3dIv1VMtNCUWNeHd7ESaSFcUd6tK/E5MUrcQWSgeb/Azq,henrique.correia27@yahoo.com.br,0,0,0,58524587318,1964-09-28 00:00:00
6a23684ed048b6bf20815a3e,pf,Letícia Andrade,,85958267773,GO,Goiânia,default.png,$2b$12$QGXXWSVW3dIv1VMtNCUWNeHd7ESaSFcUd6tK/E5MUrcQWSgeb/Azq,leticia.andrade28@gmail.com,0,0,0,36396442483,1987-04-11 00:00:00
6a23684ed048b6bf20815a3f,pf,Rodrigo Freitas,,81908937536,MA,São Luís,default.png,$2b$12$QGXXWSVW3dIv1VMtNCUWNeHd7ESaSFcUd6tK/E5MUrcQWSgeb/Azq,rodrigo.freitas29@uol.com.br,0,0,0,18809034372,1992-02-06 00:00:00
6a23684ed048b6bf20815a40,pf,Aline Cavalcanti,,81904280239,AL,Maceió,default.png,$2b$12$QGXXWSVW3dIv1VMtNCUWNeHd7ESaSFcUd6tK/E5MUrcQWSgeb/Azq,aline.cavalcanti30@gmail.com,0,0,0,72204616248,1998-09-01 00:00:00
6a23684ed048b6bf20815a41,pf,Marcelo Borges,,11987498551,ES,Vitória,default.png,$2b$12$QGXXWSVW3dIv1VMtNCUWNeHd7ESaSFcUd6tK/E5MUrcQWSgeb/Azq,marcelo.borges31@gmail.com,0,0,0,06903195464,1998-05-25 00:00:00
6a23684ed048b6bf20815a42,pf,Cristina Vieira,,21966172768,SP,Campinas,default.png,$2b$12$QGXXWSVW3dIv1VMtNCUWNeHd7ESaSFcUd6tK/E5MUrcQWSgeb/Azq,cristina.vieira32@outlook.com,0,0,0,37078646076,1966-10-24 00:00:00
6a23684ed048b6bf20815a43,pf,Alexandre Melo,,81918794856,MG,Belo Horizonte,default.png,$2b$12$QGXXWSVW3dIv1VMtNCUWNeHd7ESaSFcUd6tK/E5MUrcQWSgeb/Azq,alexandre.melo33@gmail.com,0,0,0,88660424674,2001-08-13 00:00:00
6a23684ed048b6bf20815a44,pf,Priscila Marques,,92959055431,BA,Salvador,default.png,$2b$12$QGXXWSVW3dIv1VMtNCUWNeHd7ESaSFcUd6tK/E5MUrcQWSgeb/Azq,priscila.marques34@hotmail.com,0,0,0,24126445813,1984-12-02 00:00:00
6a23684ed048b6bf20815a45,pj,Mercado Bom Preço LTDA,43421420147579,71919706352,RS,Porto Alegre,default.png,$2b$12$QGXXWSVW3dIv1VMtNCUWNeHd7ESaSFcUd6tK/E5MUrcQWSgeb/Azq,mercado.bom.preco.ltda100@yahoo.com.br,0,0,0,,
6a23684ed048b6bf20815a46,pj,Supermercado Central SA,97108239125527,85983859319,SE,Aracaju,default.png,$2b$12$QGXXWSVW3dIv1VMtNCUWNeHd7ESaSFcUd6tK/E5MUrcQWSgeb/Azq,supermercado.central.sa101@hotmail.com,0,0,0,,
6a23684ed048b6bf20815a47,pj,Atacadão do Povo LTDA,02466110233200,11920829706,ES,Vitória,default.png,$2b$12$QGXXWSVW3dIv1VMtNCUWNeHd7ESaSFcUd6tK/E5MUrcQWSgeb/Azq,atacadao.do.povo.ltda102@outlook.com,0,0,0,,
6a23684ed048b6bf20815a48,pj,Padaria São José LTDA,58620848167536,71938359275,GO,Goiânia,default.png,$2b$12$QGXXWSVW3dIv1VMtNCUWNeHd7ESaSFcUd6tK/E5MUrcQWSgeb/Azq,padaria.sao.jose.ltda103@gmail.com,0,0,0,,
6a23684ed048b6bf20815a49,pj,Distribuidora Norte Sul SA,32610521513295,11930811144,ES,Vitória,default.png,$2b$12$QGXXWSVW3dIv1VMtNCUWNeHd7ESaSFcUd6tK/E5MUrcQWSgeb/Azq,distribuidora.norte.sul.sa104@hotmail.com,0,0,0,,
6a23684ed048b6bf20815a4a,pj,Hortifruti Verde Vida LTDA,68041653447455,61980075768,RJ,Rio de Janeiro,default.png,$2b$12$QGXXWSVW3dIv1VMtNCUWNeHd7ESaSFcUd6tK/E5MUrcQWSgeb/Azq,hortifruti.verde.vida.ltda105@hotmail.com,0,0,0,,
6a23684ed048b6bf20815a4b,pj,Cooperativa dos Agricultores,38467501198544,31944294436,SE,Aracaju,default.png,$2b$12$QGXXWSVW3dIv1VMtNCUWNeHd7ESaSFcUd6tK/E5MUrcQWSgeb/Azq,cooperativa.dos.agricultores106@hotmail.com,0,0,0,,
6a23684ed048b6bf20815a4c,pj,Frigorífico São Paulo SA,78690301029703,41977613142,BA,Salvador,default.png,$2b$12$QGXXWSVW3dIv1VMtNCUWNeHd7ESaSFcUd6tK/E5MUrcQWSgeb/Azq,frigorifico.sao.paulo.sa107@uol.com.br,0,0,0,,
6a23684ed048b6bf20815a4d,pj,Laticínios do Vale LTDA,32673506485120,71995106041,AL,Maceió,default.png,$2b$12$QGXXWSVW3dIv1VMtNCUWNeHd7ESaSFcUd6tK/E5MUrcQWSgeb/Azq,laticinios.do.vale.ltda108@uol.com.br,0,0,0,,
6a23684ed048b6bf20815a4e,pj,Grãos e Cereais LTDA,60201254343654,51942464479,BA,Salvador,default.png,$2b$12$QGXXWSVW3dIv1VMtNCUWNeHd7ESaSFcUd6tK/E5MUrcQWSgeb/Azq,graos.e.cereais.ltda109@yahoo.com.br,0,0,0,,
6a23684ed048b6bf20815a4f,pj,Armazém Geral Nordeste SA,96175154387119,31907745976,RS,Porto Alegre,default.png,$2b$12$QGXXWSVW3dIv1VMtNCUWNeHd7ESaSFcUd6tK/E5MUrcQWSgeb/Azq,armazem.geral.nordeste.sa110@yahoo.com.br,0,0,0,,
6a23684ed048b6bf20815a50,pj,Alimentos Frescos LTDA,49818612964058,41908382493,RS,Porto Alegre,default.png,$2b$12$QGXXWSVW3dIv1VMtNCUWNeHd7ESaSFcUd6tK/E5MUrcQWSgeb/Azq,alimentos.frescos.ltda111@gmail.com,0,0,0,,
6a23684ed048b6bf20815a51,pj,Beneficente Nossa Senhora,80546829921329,92909351155,MA,São Luís,default.png,$2b$12$QGXXWSVW3dIv1VMtNCUWNeHd7ESaSFcUd6tK/E5MUrcQWSgeb/Azq,beneficente.nossa.senhora112@uol.com.br,0,0,0,,
6a23684ed048b6bf20815a52,pj,Instituto Social Vida SA,18745829800233,92937956279,MT,Cuiabá,default.png,$2b$12$QGXXWSVW3dIv1VMtNCUWNeHd7ESaSFcUd6tK/E5MUrcQWSgeb/Azq,instituto.social.vida.sa113@hotmail.com,0,0,0,,
6a23684ed048b6bf20815a53,pj,ONG Pão e Vida,45060342761750,21990101516,CE,Fortaleza,default.png,$2b$12$QGXXWSVW3dIv1VMtNCUWNeHd7ESaSFcUd6tK/E5MUrcQWSgeb/Azq,ong.pao.e.vida114@gmail.com,0,0,0,,
